epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8379754424095154,9.999999747378752e-05,0.4966222643852234,0.9429256319999695,0.7725256085395813,0.9538043737411499,0.16486746072769165,0.9578767418861389,0.950067937374115
1,0.9820376634597778,9.999999747378752e-05,0.05975784361362457,0.9845119714736938,0.9800014495849609,0.97486412525177,0.08177684992551804,0.9791238903999329,0.971807062625885
2,0.9929459691047668,9.999999747378752e-05,0.02481170743703842,0.9937363266944885,0.9922187328338623,0.993546187877655,0.02694690227508545,0.9935418367385864,0.9928668737411499
3,0.9934549927711487,9.999999747378752e-05,0.022005043923854828,0.9940302968025208,0.9929459691047668,0.9850543737411499,0.06376010924577713,0.9860544204711914,0.984714686870575
4,0.9949821829795837,9.999999747378752e-05,0.015713781118392944,0.9952706694602966,0.9947640299797058,0.991847813129425,0.03479285538196564,0.991847813129425,0.991847813129425
5,0.998181939125061,9.999999747378752e-05,0.007227781228721142,0.9981815814971924,0.9979637861251831,0.9775815010070801,0.09841906279325485,0.9782164692878723,0.976222813129425
6,0.9990546107292175,4.999999873689376e-05,0.004106266889721155,0.9991272687911987,0.9990546107292175,0.9972826242446899,0.013972164131700993,0.9972826242446899,0.9972826242446899
7,0.9989818930625916,4.999999873689376e-05,0.0030748527497053146,0.9991996884346008,0.9987637400627136,0.996942937374115,0.01389265712350607,0.9972816705703735,0.996942937374115
8,0.999927282333374,4.999999873689376e-05,0.000692124420311302,0.999927282333374,0.999927282333374,0.9976223111152649,0.012906341813504696,0.9976223111152649,0.9976223111152649
9,0.999854564666748,4.999999873689376e-05,0.0007110369042493403,0.999854564666748,0.999854564666748,0.9972826242446899,0.017666826024651527,0.9972826242446899,0.9972826242446899
10,0.9987637400627136,4.999999873689376e-05,0.005520735401660204,0.9987636208534241,0.9986910223960876,0.9901494383811951,0.036063291132450104,0.9908225536346436,0.9901494383811951
11,0.9981092214584351,4.999999873689376e-05,0.007281538099050522,0.9981088042259216,0.9978910684585571,0.995244562625885,0.01880209520459175,0.9952429533004761,0.9949048757553101
12,0.9995636940002441,2.499999936844688e-05,0.0015867786714807153,0.9995636343955994,0.9994909167289734,0.9972826242446899,0.011248300783336163,0.9976198673248291,0.99660325050354
13,0.999854564666748,2.499999936844688e-05,0.0008520789560861886,0.999854564666748,0.999854564666748,0.9972826242446899,0.010639132000505924,0.9972816705703735,0.996942937374115
14,0.9997818470001221,2.499999936844688e-05,0.0009078290895558894,0.9997818470001221,0.9997091293334961,0.9972826242446899,0.01283000223338604,0.9972816705703735,0.996942937374115
15,0.999927282333374,2.499999936844688e-05,0.00038307823706418276,0.999927282333374,0.999927282333374,0.9976223111152649,0.01201693993061781,0.9976223111152649,0.9976223111152649
16,0.999854564666748,2.499999936844688e-05,0.0004530821170192212,0.999927282333374,0.999854564666748,0.9976223111152649,0.012214594520628452,0.9976223111152649,0.9976223111152649
17,1.0,1.249999968422344e-05,0.00014652087702415884,1.0,1.0,0.9976223111152649,0.012180146761238575,0.9979605674743652,0.9972826242446899
18,0.999854564666748,1.249999968422344e-05,0.00039969172212295234,0.999854564666748,0.999854564666748,0.996942937374115,0.01578589901328087,0.9969419240951538,0.99660325050354
19,0.999927282333374,1.249999968422344e-05,0.00022919570619706064,0.999927282333374,0.999927282333374,0.9972826242446899,0.013509049080312252,0.9972826242446899,0.9972826242446899
